encoding,accuracy_mean,accuracy_std,f1_macro_mean,f1_macro_std,spike_sparsity_pct_mean,spike_sparsity_pct_std,energy_ratio_mean,energy_ratio_std,energy_savings_pct_mean,energy_savings_pct_std,semantic_preservation_score
poisson_rate,0.24,,0.19914717097469672,,50.12497901916504,,3465.452046184896,,99.97114373574723,,0.952384352684021
latency,0.21,,0.14044593778794523,,98.66752624511719,,187764.18116236414,,99.99946741705803,,0.9567996859550476
temporal,0.192,,0.137769235043993,,98.66666793823242,,187631.25223419318,,99.9994670397452,,0.9547717571258545
population,0.204,,0.144066703883054,,48.205363750457764,,695.7410383857159,,99.85626836066473,,0.9739071130752563
binary_threshold,0.172,,0.16464460483232307,,61.47265434265137,,4841.63126744298,,99.97934580423907,,0.6406235694885254
